invoice_id,customer_id,amount_due,currency,invoice_date,due_date,status_hint
INV-0000036,CUST-00781,934.33,EUR,2025-02-24,2025-03-22,
INV-0000037,CUST-00862,3212.80,EUR,2025-11-08,2025-11-27,
INV-0000038,CUST-00157,1900.87,EUR,2025-03-24,2025-05-04,
INV-0000039,CUST-00977,3904.20,EUR,2025-09-29,2025-10-06,
INV-0000040,CUST-00614,1654.57,EUR,2025-01-10,2025-01-24,
INV-0000041,CUST-00952,1846.75,EUR,2025-06-07,2025-06-29,
INV-0000042,CUST-00060,1242.31,EUR,2025-10-18,2025-10-30,
INV-0000043,CUST-00088,3672.94,EUR,2025-02-05,2025-03-18,
INV-0000044,CUST-00785,672.51,EUR,2025-12-04,2026-01-10,
INV-0000045,CUST-00970,2771.53,EUR,2025-05-16,2025-06-25,
INV-0000046,CUST-00894,3052.64,EUR,2025-04-19,2025-05-30,
INV-0000047,CUST-00774,3663.16,EUR,2025-04-13,2025-05-09,
INV-0000048,CUST-00409,4975.99,EUR,2025-11-29,2025-12-29,
INV-0000049,CUST-00449,4503.09,EUR,2025-08-20,2025-09-03,
INV-0000050,CUST-00254,1162.25,EUR,2025-06-23,2025-07-01,
INV-0000051,CUST-00603,2791.91,EUR,2025-10-29,2025-11-19,
INV-0000052,CUST-00008,401.42,EUR,2025-11-20,2025-11-30,
INV-0000053,CUST-00235,383.63,EUR,2025-01-17,2025-02-14,
INV-0000054,CUST-00073,2595.07,EUR,2025-05-23,2025-06-30,
INV-0000055,CUST-00220,2719.21,EUR,2025-10-20,2025-12-02,
INV-0000056,CUST-00485,1252.84,EUR,2025-08-31,2025-10-03,
INV-0000057,CUST-00195,516.91,EUR,2025-12-04,2026-01-07,
INV-0000058,CUST-00363,2146.71,EUR,2025-08-28,2025-09-07,
INV-0000059,CUST-00690,3284.60,EUR,2025-11-27,2025-12-10,
INV-0000060,CUST-00063,2042.98,EUR,2025-06-23,2025-07-06,
INV-0000061,CUST-00255,998.37,EUR,2025-10-02,2025-11-06,
INV-0000062,CUST-00144,2138.31,EUR,2025-05-23,2025-06-28,
INV-0000063,CUST-00256,4378.71,EUR,2025-02-08,2025-03-15,
INV-0000064,CUST-00828,4313.68,EUR,2025-10-09,2025-10-22,
INV-0000065,CUST-00052,3278.12,EUR,2025-10-04,2025-10-11,
INV-0000066,CUST-00993,511.65,EUR,2025-05-02,2025-05-19,
INV-0000067,CUST-00417,2453.92,EUR,2025-04-20,2025-05-22,
INV-0000068,CUST-00925,340.25,EUR,2025-07-14,2025-07-21,
INV-0000069,CUST-00400,1362.76,EUR,2025-08-21,2025-09-15,
INV-0000070,CUST-00434,3498.13,EUR,2025-10-12,2025-11-19,
INV-0000071,CUST-00159,989.99,EUR,2025-04-22,2025-05-02,
INV-0000072,CUST-00594,3691.90,EUR,2025-02-01,2025-02-28,
INV-0000073,CUST-00059,298.20,EUR,2025-09-02,2025-10-11,
INV-0000074,CUST-00942,4270.96,EUR,2025-03-22,2025-04-01,
INV-0000075,CUST-00984,2563.75,EUR,2025-04-06,2025-04-17,
INV-0000076,CUST-00610,386.41,EUR,2025-05-01,2025-06-02,
INV-0000077,CUST-00123,4710.90,EUR,2025-10-19,2025-11-10,
INV-0000078,CUST-00593,2992.87,EUR,2025-11-14,2025-11-26,
INV-0000079,CUST-00430,3304.00,EUR,2025-10-17,2025-11-26,
INV-0000080,CUST-00324,4676.80,EUR,2025-04-15,2025-05-12,
INV-0000081,CUST-00245,1364.79,EUR,2025-03-09,2025-04-04,
INV-0000082,CUST-00469,1615.08,EUR,2025-02-07,2025-02-14,
INV-0000083,CUST-00470,3124.74,EUR,2025-10-16,2025-10-29,
INV-0000084,CUST-00076,2711.29,EUR,2025-09-17,2025-10-10,
INV-0000085,CUST-00136,4669.63,EUR,2025-02-05,2025-02-27,
INV-0000086,CUST-00379,1460.69,EUR,2025-08-13,2025-09-23,
INV-0000087,CUST-00721,1547.46,EUR,2025-12-01,2026-01-10,
INV-0000088,CUST-00009,3355.92,EUR,2025-10-11,2025-11-06,
INV-0000089,CUST-00955,3333.77,EUR,2025-03-10,2025-04-02,
INV-0000090,CUST-00119,4454.08,EUR,2025-10-11,2025-10-27,
INV-0000091,CUST-00279,1444.69,EUR,2025-04-18,2025-05-16,
INV-0000092,CUST-00209,3453.11,EUR,2025-05-16,2025-06-24,
INV-0000093,CUST-00501,1293.05,EUR,2025-01-27,2025-02-08,
INV-0000094,CUST-00650,2146.70,EUR,2025-05-22,2025-05-31,
INV-0000095,CUST-00004,1701.10,EUR,2025-03-08,2025-03-31,
INV-0000096,CUST-00166,3719.09,EUR,2025-10-10,2025-11-13,
INV-0000097,CUST-00575,97.87,EUR,2025-02-08,2025-02-24,
INV-0000098,CUST-00559,228.34,EUR,2025-07-09,2025-08-22,
INV-0000099,CUST-00566,783.06,EUR,2025-03-07,2025-03-16,
INV-0000100,CUST-00316,1855.03,EUR,2025-01-21,2025-02-19,
INV-0000101,CUST-00216,3426.23,EUR,2025-12-08,2025-12-21,
INV-0000102,CUST-00363,3911.58,EUR,2025-07-28,2025-08-13,
INV-0000103,CUST-00948,4652.91,EUR,2025-03-25,2025-04-12,
INV-0000104,CUST-00903,2090.86,EUR,2025-04-02,2025-04-30,
INV-0000105,CUST-00802,4657.54,EUR,2025-12-09,2025-12-31,
INV-0000106,CUST-00274,838.03,EUR,2025-12-26,2026-01-08,
INV-0000107,CUST-00392,4367.23,EUR,2025-08-29,2025-09-19,
INV-0000108,CUST-00205,4092.10,EUR,2025-08-24,2025-09-22,
INV-0000109,CUST-00313,4111.66,EUR,2025-04-27,2025-05-18,
INV-0000110,CUST-00025,3317.16,EUR,2025-07-24,2025-08-21,
INV-0000111,CUST-00286,4328.55,EUR,2025-05-23,2025-06-21,
INV-0000112,CUST-00657,2571.56,EUR,2025-12-14,2026-01-24,
INV-0000113,CUST-00340,4699.22,EUR,2025-03-01,2025-03-24,
INV-0000114,CUST-00183,2923.92,EUR,2025-05-16,2025-05-25,
INV-0000115,CUST-00112,3003.03,EUR,2025-06-26,2025-07-23,
INV-0000116,CUST-00447,3050.73,EUR,2025-09-19,2025-10-03,
INV-0000117,CUST-00395,4502.55,EUR,2025-04-08,2025-05-01,
INV-0000118,CUST-00046,3558.49,EUR,2025-01-01,2025-02-10,
INV-0000119,CUST-00948,4042.23,EUR,2025-12-18,2026-01-06,
INV-0000120,CUST-00373,2184.92,EUR,2025-12-07,2026-01-04,
INV-0000121,CUST-00639,1603.88,EUR,2025-03-05,2025-03-31,
INV-0000122,CUST-00520,1580.96,EUR,2025-07-29,2025-08-25,
INV-0000123,CUST-00413,3501.18,EUR,2025-10-11,2025-10-26,
INV-0000124,CUST-00197,2131.21,EUR,2025-07-14,2025-08-01,
INV-0000125,CUST-00631,2867.07,EUR,2025-07-27,2025-09-07,
INV-0000126,CUST-00854,52.01,EUR,2025-05-27,2025-06-16,
INV-0000127,CUST-00441,3939.51,EUR,2025-11-07,2025-12-04,
INV-0000128,CUST-00477,2236.84,EUR,2025-12-12,2026-01-01,
INV-0000129,CUST-00524,2392.27,EUR,2025-03-28,2025-04-09,
INV-0000130,CUST-00291,2601.49,EUR,2025-11-21,2025-12-19,
INV-0000131,CUST-00096,4101.20,EUR,2025-05-01,2025-05-27,
INV-0000132,CUST-00231,4042.49,EUR,2025-03-17,2025-03-25,
INV-0000133,CUST-00048,1261.97,EUR,2025-09-01,2025-09-12,
INV-0000134,CUST-00467,2101.48,EUR,2025-11-19,2026-01-01,
INV-0000135,CUST-00200,3605.81,EUR,2025-07-16,2025-08-23,
INV-0000136,CUST-00410,1257.72,EUR,2025-12-02,2025-12-09,
INV-0000137,CUST-00915,3767.27,EUR,2025-02-24,2025-03-30,
INV-0000138,CUST-00225,920.64,EUR,2025-12-23,2026-02-01,
INV-0000139,CUST-00476,298.58,EUR,2025-05-08,2025-05-22,
INV-0000140,CUST-00468,710.03,EUR,2025-08-26,2025-10-05,
INV-0000141,CUST-00573,2997.49,EUR,2025-08-15,2025-09-23,
INV-0000142,CUST-00437,4161.32,EUR,2025-10-08,2025-11-12,
INV-0000143,CUST-00919,837.83,EUR,2025-09-01,2025-10-06,
INV-0000144,CUST-00266,3771.30,EUR,2025-11-23,2025-12-17,
INV-0000145,CUST-00785,3899.49,EUR,2025-09-06,2025-09-28,
INV-0000146,CUST-00282,2227.37,EUR,2026-01-01,2026-01-26,
INV-0000147,CUST-00241,1394.99,EUR,2025-06-13,2025-07-24,
INV-0000148,CUST-00083,734.95,EUR,2025-04-29,2025-05-30,
INV-0000149,CUST-00711,806.39,EUR,2025-04-20,2025-05-01,
INV-0000150,CUST-00425,2067.62,EUR,2025-10-05,2025-11-10,
INV-0000151,CUST-00426,358.22,EUR,2025-08-04,2025-09-04,
INV-0000152,CUST-00927,3860.49,EUR,2025-12-23,2025-12-31,
INV-0000153,CUST-00878,4409.25,EUR,2025-10-22,2025-11-22,
INV-0000154,CUST-00489,79.19,EUR,2025-06-30,2025-07-26,
INV-0000155,CUST-00772,1980.43,EUR,2025-08-03,2025-09-13,
INV-0000156,CUST-00766,3686.44,EUR,2025-11-05,2025-11-26,
INV-0000157,CUST-00500,1136.14,EUR,2025-08-12,2025-09-19,
INV-0000158,CUST-00030,1974.84,EUR,2025-12-09,2026-01-10,
INV-0000159,CUST-00742,866.97,EUR,2025-08-28,2025-09-12,
INV-0000160,CUST-00638,2693.91,EUR,2025-07-21,2025-09-03,
INV-0000161,CUST-00578,3331.85,EUR,2025-02-12,2025-03-18,
INV-0000162,CUST-00139,4340.91,EUR,2025-04-04,2025-04-14,
INV-0000163,CUST-00267,1926.56,EUR,2025-04-19,2025-05-25,
INV-0000164,CUST-00335,1720.63,EUR,2025-07-14,2025-08-07,
INV-0000165,CUST-00771,4758.46,EUR,2025-08-04,2025-08-27,
INV-0000166,CUST-00855,455.44,EUR,2025-01-10,2025-02-20,
INV-0000167,CUST-00054,4999.54,EUR,2025-06-29,2025-07-20,
INV-0000168,CUST-00666,389.66,EUR,2025-11-30,2025-12-09,
INV-0000169,CUST-00773,203.60,EUR,2025-05-07,2025-05-26,
INV-0000170,CUST-00860,150.88,EUR,2025-03-20,2025-04-11,
INV-0000171,CUST-00130,2394.13,EUR,2025-02-28,2025-04-12,
INV-0000172,CUST-00971,1128.92,EUR,2025-12-25,2026-01-17,
INV-0000173,CUST-00786,1876.03,EUR,2025-11-07,2025-12-22,
INV-0000174,CUST-00987,3752.23,EUR,2025-02-28,2025-03-17,
INV-0000175,CUST-00988,1589.64,EUR,2025-10-24,2025-11-01,
INV-0000176,CUST-00952,1594.19,EUR,2025-12-13,2026-01-13,
INV-0000177,CUST-00407,4710.28,EUR,2025-04-12,2025-04-23,
INV-0000178,CUST-00607,3468.54,EUR,2025-11-18,2025-12-10,
INV-0000179,CUST-00105,3501.11,EUR,2025-06-04,2025-07-19,
INV-0000180,CUST-00825,649.22,EUR,2025-10-17,2025-10-26,
INV-0000181,CUST-00356,2687.09,EUR,2025-12-05,2026-01-04,
INV-0000182,CUST-00071,2554.51,EUR,2025-06-24,2025-07-01,
INV-0000183,CUST-00870,2129.29,EUR,2025-09-08,2025-09-21,
INV-0000184,CUST-00444,4805.90,EUR,2025-11-22,2025-12-28,
INV-0000185,CUST-00725,807.31,EUR,2025-04-01,2025-05-11,
INV-0000186,CUST-00989,3269.76,EUR,2025-11-12,2025-12-23,
INV-0000187,CUST-00794,2443.31,EUR,2025-08-12,2025-09-25,
INV-0000188,CUST-00275,1645.41,EUR,2025-05-06,2025-05-18,
INV-0000189,CUST-00286,4414.07,EUR,2025-05-05,2025-06-10,
INV-0000190,CUST-00584,3071.14,EUR,2025-07-14,2025-08-11,
INV-0000191,CUST-00030,2496.82,EUR,2025-06-16,2025-07-04,
INV-0000192,CUST-00500,1099.99,EUR,2025-05-13,2025-06-10,
INV-0000193,CUST-00287,4407.58,EUR,2025-12-26,2026-01-19,
INV-0000194,CUST-00570,100.25,EUR,2025-04-08,2025-04-20,
INV-0000195,CUST-00248,3614.37,EUR,2025-09-08,2025-10-20,
INV-0000196,CUST-00777,1239.60,EUR,2025-09-01,2025-10-09,
INV-0000197,CUST-00459,3975.02,EUR,2025-02-17,2025-03-14,
INV-0000198,CUST-00227,2051.79,EUR,2025-05-05,2025-05-31,
INV-0000199,CUST-00680,2928.70,EUR,2025-08-31,2025-10-12,
INV-0000200,CUST-00544,1751.60,EUR,2025-10-09,2025-11-06,
INV-0000201,CUST-00361,3529.13,EUR,2025-05-19,2025-06-14,
INV-0000202,CUST-00258,1191.16,EUR,2025-04-09,2025-05-06,
INV-0000203,CUST-00123,3727.26,EUR,2025-12-20,2026-01-07,
INV-0000204,CUST-00197,1121.10,EUR,2025-09-05,2025-09-29,
INV-0000205,CUST-00742,2968.46,EUR,2025-09-26,2025-11-10,
INV-0000206,CUST-00290,4903.53,EUR,2025-04-10,2025-05-05,
INV-0000207,CUST-00233,1836.36,EUR,2025-06-04,2025-06-11,
INV-0000208,CUST-00726,2693.97,EUR,2025-05-21,2025-05-30,
INV-0000209,CUST-00998,319.90,EUR,2025-05-30,2025-06-14,
INV-0000210,CUST-00654,4348.88,EUR,2025-09-09,2025-09-22,
INV-0000211,CUST-00894,110.71,EUR,2025-05-26,2025-07-02,
INV-0000212,CUST-00491,2230.32,EUR,2025-04-05,2025-04-15,
INV-0000213,CUST-00259,4708.26,EUR,2025-09-02,2025-09-16,
INV-0000214,CUST-00842,373.45,EUR,2025-09-09,2025-09-20,
INV-0000215,CUST-00591,3165.76,EUR,2025-01-28,2025-02-13,
INV-0000216,CUST-00153,4065.15,EUR,2025-06-05,2025-06-17,
INV-0000217,CUST-00255,636.34,EUR,2025-08-02,2025-09-16,
INV-0000218,CUST-00611,3964.17,EUR,2025-04-26,2025-06-05,
INV-0000219,CUST-00390,2280.05,EUR,2025-08-15,2025-09-10,
INV-0000220,CUST-00881,2963.20,EUR,2025-08-08,2025-09-03,
INV-0000221,CUST-00583,3124.09,EUR,2025-11-09,2025-11-22,
INV-0000222,CUST-00971,3825.55,EUR,2025-11-17,2025-12-07,
INV-0000223,CUST-00271,3319.12,EUR,2025-03-22,2025-04-13,
INV-0000224,CUST-00178,2782.36,EUR,2025-03-22,2025-03-29,
INV-0000225,CUST-00419,2279.99,EUR,2025-11-01,2025-12-08,
INV-0000226,CUST-00299,211.57,EUR,2025-05-28,2025-06-22,
INV-0000227,CUST-00720,4305.05,EUR,2025-02-06,2025-02-27,
INV-0000228,CUST-00947,1359.55,EUR,2025-11-17,2025-12-31,
INV-0000229,CUST-00678,4029.33,EUR,2025-04-12,2025-05-16,
INV-0000230,CUST-00118,2745.58,EUR,2025-11-28,2025-12-14,
INV-0000231,CUST-00931,1364.88,EUR,2025-03-14,2025-03-25,
INV-0000232,CUST-00062,871.32,EUR,2025-06-07,2025-07-22,
INV-0000233,CUST-00767,4129.99,EUR,2025-05-28,2025-07-02,
INV-0000234,CUST-00128,2370.05,EUR,2025-06-05,2025-07-07,
INV-0000235,CUST-00966,1397.62,EUR,2025-10-04,2025-11-11,
INV-0000236,CUST-00449,448.19,EUR,2025-01-21,2025-02-24,
INV-0000237,CUST-00753,1645.49,EUR,2025-05-09,2025-05-17,
INV-0000238,CUST-00094,1183.18,EUR,2025-12-12,2026-01-24,
INV-0000239,CUST-00602,4756.39,EUR,2025-12-11,2026-01-04,
INV-0000240,CUST-00591,249.15,EUR,2025-03-31,2025-05-07,
INV-0000241,CUST-00532,3274.97,EUR,2025-05-23,2025-06-10,
INV-0000242,CUST-00600,2207.63,EUR,2025-09-09,2025-09-21,
INV-0000243,CUST-00482,1772.41,EUR,2025-06-20,2025-07-17,
INV-0000244,CUST-00687,567.77,EUR,2025-03-24,2025-04-21,
INV-0000245,CUST-00422,3483.68,EUR,2025-05-28,2025-06-29,
INV-0000246,CUST-00834,3814.47,EUR,2025-01-19,2025-02-24,
INV-0000247,CUST-00091,1606.86,EUR,2025-06-15,2025-06-29,
INV-0000248,CUST-00994,3874.11,EUR,2025-09-21,2025-09-28,
INV-0000249,CUST-00674,4353.37,EUR,2025-08-25,2025-09-27,
INV-0000250,CUST-00056,978.53,EUR,2025-07-05,2025-08-12,
INV-0000251,CUST-00641,2238.10,EUR,2025-01-27,2025-02-16,
INV-0000252,CUST-00274,2768.64,EUR,2025-05-28,2025-07-02,
INV-0000253,CUST-00902,3506.34,EUR,2025-03-04,2025-03-12,
INV-0000254,CUST-00997,3168.61,EUR,2025-05-03,2025-05-20,
INV-0000255,CUST-00319,2776.65,EUR,2025-10-10,2025-11-12,
INV-0000256,CUST-00096,1162.27,EUR,2025-02-28,2025-04-05,
INV-0000257,CUST-00970,631.46,EUR,2025-03-20,2025-04-27,
INV-0000258,CUST-00956,3597.19,EUR,2025-09-18,2025-10-12,
INV-0000259,CUST-00426,4181.88,EUR,2025-08-30,2025-09-21,
INV-0000260,CUST-00468,2778.76,EUR,2025-07-16,2025-08-04,
INV-0000261,CUST-00944,3016.92,EUR,2025-03-11,2025-03-22,
INV-0000262,CUST-00283,3874.74,EUR,2025-08-01,2025-08-29,
INV-0000263,CUST-00957,3949.20,EUR,2025-05-17,2025-05-24,
INV-0000264,CUST-00290,3643.95,EUR,2025-10-28,2025-12-11,
INV-0000265,CUST-00676,2473.72,EUR,2025-03-18,2025-04-22,
INV-0000266,CUST-00552,2447.49,EUR,2025-06-20,2025-08-01,
INV-0000267,CUST-00782,2739.98,EUR,2025-08-22,2025-09-18,
INV-0000268,CUST-00891,983.83,EUR,2025-12-24,2026-01-15,
INV-0000269,CUST-00586,1945.71,EUR,2025-07-30,2025-08-08,
INV-0000270,CUST-00326,3736.29,EUR,2025-12-28,2026-01-28,
INV-0000271,CUST-00396,4942.65,EUR,2025-11-30,2025-12-16,
INV-0000272,CUST-00508,4825.88,EUR,2025-03-06,2025-04-14,
INV-0000273,CUST-00989,2971.39,EUR,2025-02-21,2025-03-28,
INV-0000274,CUST-00103,2653.46,EUR,2025-08-22,2025-08-29,
INV-0000275,CUST-00740,763.57,EUR,2025-12-02,2025-12-18,
INV-0000276,CUST-00077,2373.98,EUR,2025-05-16,2025-06-13,
INV-0000277,CUST-00639,3478.89,EUR,2025-11-29,2025-12-11,
INV-0000278,CUST-00873,1676.40,EUR,2025-12-12,2026-01-22,
INV-0000279,CUST-00390,4772.99,EUR,2025-11-17,2025-12-25,
INV-0000280,CUST-00894,2728.03,EUR,2025-11-13,2025-11-24,
INV-0000281,CUST-00241,3174.25,EUR,2025-05-28,2025-06-18,
INV-0000282,CUST-00765,497.38,EUR,2025-02-20,2025-03-05,
INV-0000283,CUST-00455,873.51,EUR,2025-06-03,2025-06-11,
INV-0000284,CUST-00048,1655.65,EUR,2025-01-29,2025-02-23,
INV-0000285,CUST-00368,1905.46,EUR,2025-03-16,2025-04-07,
INV-0000286,CUST-00544,2089.66,EUR,2025-12-16,2026-01-03,
INV-0000287,CUST-00175,916.59,EUR,2025-11-09,2025-12-10,
INV-0000288,CUST-00635,3431.52,EUR,2025-09-12,2025-10-26,
INV-0000289,CUST-00147,1199.33,EUR,2025-11-23,2025-12-16,
INV-0000290,CUST-00471,1313.87,EUR,2025-01-05,2025-02-10,
INV-0000291,CUST-00923,1473.78,EUR,2025-10-07,2025-10-24,
INV-0000292,CUST-00076,2236.56,EUR,2025-06-26,2025-08-09,
INV-0000293,CUST-00307,3212.75,EUR,2025-08-06,2025-08-29,
INV-0000294,CUST-00468,4234.25,EUR,2025-04-12,2025-05-13,
INV-0000295,CUST-00874,2441.88,EUR,2025-05-02,2025-06-02,
INV-0000296,CUST-00586,1826.85,EUR,2025-06-01,2025-06-26,
INV-0000297,CUST-00023,4890.83,EUR,2025-12-04,2026-01-05,
INV-0000298,CUST-00282,90.08,EUR,2025-12-18,2025-12-28,
INV-0000299,CUST-00933,3051.71,EUR,2025-09-12,2025-10-07,
INV-0000300,CUST-00795,4004.36,EUR,2025-11-07,2025-12-06,
INV-0000301,CUST-00225,3201.26,EUR,2025-11-14,2025-12-07,
INV-0000302,CUST-00695,3790.11,EUR,2025-12-04,2025-12-19,
INV-0000303,CUST-00644,530.96,EUR,2025-11-18,2025-11-27,
INV-0000304,CUST-00317,3953.62,EUR,2025-01-18,2025-03-03,
INV-0000305,CUST-00374,3675.18,EUR,2025-02-16,2025-03-13,
INV-0000306,CUST-00335,3750.03,EUR,2025-03-31,2025-04-19,
INV-0000307,CUST-00136,3943.24,EUR,2025-07-07,2025-08-16,
INV-0000308,CUST-00514,4571.76,EUR,2025-03-26,2025-04-18,
INV-0000309,CUST-00936,4132.21,EUR,2025-09-04,2025-09-29,
INV-0000310,CUST-00765,4358.46,EUR,2025-02-28,2025-04-05,
INV-0000311,CUST-00987,422.73,EUR,2025-04-26,2025-05-28,
INV-0000312,CUST-00991,4236.44,EUR,2025-10-13,2025-11-12,
INV-0000313,CUST-00093,3963.88,EUR,2025-01-08,2025-01-31,
INV-0000314,CUST-00550,661.76,EUR,2025-07-08,2025-07-31,
INV-0000315,CUST-00599,1936.08,EUR,2025-11-23,2025-12-23,
INV-0000316,CUST-00111,3390.44,EUR,2025-08-30,2025-09-07,
INV-0000317,CUST-00635,4426.96,EUR,2025-10-15,2025-11-11,
INV-0000318,CUST-00938,3069.91,EUR,2025-11-28,2025-12-09,
INV-0000319,CUST-00651,4128.08,EUR,2025-12-25,2026-01-20,
INV-0000320,CUST-00665,2071.06,EUR,2025-03-13,2025-03-22,
INV-0000321,CUST-00969,234.20,EUR,2025-09-10,2025-09-24,
INV-0000322,CUST-00100,1212.26,EUR,2025-10-03,2025-10-18,
INV-0000323,CUST-00398,2295.54,EUR,2025-12-10,2026-01-20,
INV-0000324,CUST-00430,2957.33,EUR,2025-03-21,2025-04-23,
INV-0000325,CUST-00671,540.16,EUR,2025-09-08,2025-10-11,
INV-0000326,CUST-00962,4760.03,EUR,2025-01-17,2025-02-16,
INV-0000327,CUST-00223,2244.75,EUR,2025-05-01,2025-05-31,
INV-0000328,CUST-00102,4905.59,EUR,2025-07-08,2025-08-18,
INV-0000329,CUST-00924,4890.32,EUR,2025-07-03,2025-07-13,
INV-0000330,CUST-00408,1415.61,EUR,2025-03-04,2025-04-09,
INV-0000331,CUST-00094,3330.71,EUR,2025-11-25,2026-01-09,
INV-0000332,CUST-00995,155.72,EUR,2025-06-20,2025-07-12,
INV-0000333,CUST-00129,3945.54,EUR,2025-04-16,2025-04-27,
INV-0000334,CUST-00850,3837.53,EUR,2025-04-17,2025-05-31,
INV-0000335,CUST-00222,4074.61,EUR,2025-04-30,2025-05-28,
INV-0000336,CUST-00793,780.39,EUR,2025-11-02,2025-11-09,
INV-0000337,CUST-00284,4299.11,EUR,2025-03-16,2025-03-31,
INV-0000338,CUST-00554,1290.74,EUR,2025-03-31,2025-04-14,
INV-0000339,CUST-00677,4338.92,EUR,2025-03-09,2025-03-16,
INV-0000340,CUST-00367,3960.42,EUR,2025-05-02,2025-06-15,
INV-0000341,CUST-00332,128.12,EUR,2025-05-16,2025-05-26,
INV-0000342,CUST-00130,3721.50,EUR,2025-09-27,2025-10-11,
INV-0000343,CUST-00764,364.61,EUR,2025-08-18,2025-09-17,
INV-0000344,CUST-00526,2988.65,EUR,2025-08-20,2025-09-28,
INV-0000345,CUST-00227,4729.81,EUR,2025-01-23,2025-03-04,
INV-0000346,CUST-00309,2317.31,EUR,2025-01-16,2025-01-26,
INV-0000347,CUST-00491,4244.13,EUR,2025-08-07,2025-08-20,
INV-0000348,CUST-00503,3576.39,EUR,2025-08-16,2025-08-27,
INV-0000349,CUST-00921,449.91,EUR,2025-11-08,2025-11-24,
INV-0000350,CUST-00068,674.65,EUR,2025-11-16,2025-12-30,
INV-0000351,CUST-00562,3575.16,EUR,2025-07-15,2025-08-29,
INV-0000352,CUST-00544,1509.74,EUR,2025-09-16,2025-10-31,
INV-0000353,CUST-00441,540.93,EUR,2025-12-26,2026-01-09,
INV-0000354,CUST-00874,3290.83,EUR,2025-10-10,2025-10-30,
INV-0000355,CUST-00441,2285.20,EUR,2025-04-27,2025-05-30,
INV-0000356,CUST-00348,4145.73,EUR,2025-07-24,2025-08-26,
INV-0000357,CUST-00748,520.67,EUR,2025-08-07,2025-09-03,
INV-0000358,CUST-00682,1311.70,EUR,2025-03-20,2025-04-26,
INV-0000359,CUST-00069,501.56,EUR,2025-02-13,2025-02-25,
INV-0000360,CUST-00443,527.99,EUR,2025-07-10,2025-07-25,
INV-0000361,CUST-00570,346.91,EUR,2025-10-15,2025-11-26,
INV-0000362,CUST-00338,3366.57,EUR,2025-07-30,2025-08-28,
INV-0000363,CUST-00895,3343.44,EUR,2025-08-05,2025-08-15,
INV-0000364,CUST-00992,1473.77,EUR,2025-06-09,2025-07-08,
INV-0000365,CUST-00107,2910.70,EUR,2025-04-19,2025-05-05,
INV-0000366,CUST-00673,2436.84,EUR,2025-02-25,2025-03-26,
INV-0000367,CUST-00866,2803.51,EUR,2025-02-28,2025-03-24,
INV-0000368,CUST-00588,1169.49,EUR,2025-08-08,2025-09-19,
