payment_id,invoice_id,customer_id,amount_paid,currency,payment_date,reference
PAY-00023266,INV-X-0010934,CUST-00002,1011.30,EUR,2025-06-22,noise
PAY-00013603,INV-0014251,CUST-00170,971.06,EUR,2025-05-15,full-match
PAY-00000600,INV-0000622,CUST-00411,3362.82,EUR,2025-04-18,full-match
PAY-00008854,INV-0009282,CUST-00549,4451.24,EUR,2025-05-06,full-match
PAY-00000926,INV-0000970,CUST-00540,2416.05,EUR,2025-07-05,full-match
PAY-00023097,INV-X-0012007,CUST-00538,2194.96,EUR,2025-05-02,noise
PAY-00024751,INV-X-0034439,CUST-00378,1453.10,EUR,2025-09-09,noise
PAY-00015102,INV-0015787,CUST-00893,3601.09,EUR,2025-04-16,partial
PAY-00023154,INV-X-0006897,CUST-00885,2098.86,EUR,2025-07-10,noise
PAY-00000196,INV-0000210,CUST-00654,4348.88,EUR,2025-09-26,full-match
PAY-00002478,INV-0002594,CUST-00022,1954.80,EUR,2025-03-30,partial
PAY-00022661,INV-X-0033286,CUST-00042,225.19,EUR,2025-04-21,noise
PAY-00021494,INV-X-0027825,CUST-00196,992.66,EUR,2026-01-01,noise
PAY-00020024,INV-X-0010308,CUST-00436,6891.96,EUR,2025-07-06,noise
PAY-00014190,INV-0014861,CUST-00669,1782.85,EUR,2026-02-13,full-match
PAY-00016603,INV-0017366,CUST-00206,207.62,EUR,2025-10-21,duplicate
PAY-00008392,INV-0008801,CUST-00308,4220.01,EUR,2025-08-09,full-match
PAY-00010724,INV-0011241,CUST-00678,2297.17,EUR,2025-04-28,full-match
PAY-00020797,INV-X-0039040,CUST-00698,4772.40,EUR,2025-01-28,noise
PAY-00021583,INV-X-0033850,CUST-00723,207.04,EUR,2026-02-03,noise
PAY-00024477,INV-X-0026052,CUST-00158,2486.75,EUR,2025-06-06,noise
PAY-00022707,INV-X-0005498,CUST-00668,5603.76,EUR,2025-08-20,noise
PAY-00001162,,CUST-00427,4785.67,EUR,2026-02-02,missing-invoice-id
PAY-00011985,INV-0012560,CUST-00581,722.91,EUR,2025-07-05,duplicate
PAY-00017248,INV-0018025,CUST-00760,4066.23,EUR,2025-08-12,full-match
PAY-00007021,INV-0007358,CUST-00850,1029.97,EUR,2025-07-21,full-match
PAY-00009617,INV-0010081,CUST-00693,2520.73,EUR,2025-12-08,full-match
PAY-00014439,INV-0015117,CUST-00719,1991.13,EUR,2025-06-27,full-match
PAY-00018803,INV-0019642,CUST-00531,1702.30,EUR,2025-08-10,duplicate
PAY-00004112,INV-0004284,CUST-00411,2748.30,EUR,2025-11-16,full-match
PAY-00003872,INV-0004041,CUST-00880,393.48,EUR,2025-04-27,full-match
PAY-00022630,INV-X-0020093,CUST-00409,1568.09,EUR,2025-08-19,noise
PAY-00021044,INV-X-0020246,CUST-00173,1380.79,EUR,2025-03-23,noise
PAY-00015594,INV-0016315,CUST-00401,88.06,EUR,2025-11-06,duplicate
PAY-00015430,INV-0016146,CUST-00501,2740.63,EUR,2025-09-30,full-match
PAY-00002176,INV-0002273,CUST-00633,1172.12,EUR,2025-11-03,full-match
PAY-00002462,INV-0002582,CUST-00399,1103.20,EUR,2025-05-16,full-match
PAY-00003761,INV-0003918,CUST-00895,1770.74,EUR,2025-09-25,full-match
PAY-00006063,INV-0006340,CUST-00620,1599.29,EUR,2025-02-26,full-match
PAY-00009093,INV-0009528,CUST-00209,4009.59,EUR,2025-05-25,full-match
PAY-00018137,INV-0018955,CUST-00256,538.05,EUR,2025-01-28,full-match
PAY-00001478,INV-0001563,CUST-00702,1900.41,EUR,2025-02-26,full-match
PAY-00000198,INV-0000212,CUST-00491,2230.32,EUR,2025-04-25,full-match
PAY-00013285,INV-0013936,CUST-00383,487.76,EUR,2026-01-05,duplicate
PAY-00017174,INV-0017949,CUST-00619,819.30,EUR,2025-04-18,full-match
PAY-00005975,INV-0006244,CUST-00644,4153.84,EUR,2025-08-02,full-match
PAY-00014175,INV-0014846,CUST-00812,935.22,EUR,2025-12-11,duplicate
PAY-00024687,INV-X-0013416,CUST-00252,642.74,EUR,2025-04-05,noise
PAY-00002623,INV-0002741,CUST-00416,4073.70,EUR,2025-02-25,full-match
PAY-00015270,INV-0015976,CUST-00258,3394.10,EUR,2025-05-12,full-match
PAY-00003618,INV-0003774,CUST-00285,502.23,EUR,2025-05-01,full-match
PAY-00006117,INV-0006399,CUST-00818,63.12,EUR,2025-11-05,full-match
PAY-00005315,INV-0005547,CUST-00909,3619.54,EUR,2025-05-29,full-match
PAY-00010870,INV-0011394,CUST-00395,2228.08,EUR,2025-03-28,full-match
PAY-00013235,INV-0013881,CUST-00075,1315.40,EUR,2025-10-25,full-match
PAY-00023429,INV-X-0006208,CUST-00117,1195.05,EUR,2025-08-10,noise
PAY-00003509,INV-0003664,CUST-00052,4451.37,EUR,2026-01-18,full-match
PAY-00013373,INV-0014026,CUST-00424,225.58,EUR,2025-03-07,partial
PAY-00013552,INV-0014201,CUST-00734,1829.88,EUR,2026-02-06,full-match
PAY-00021035,INV-X-0025687,CUST-00917,2802.97,EUR,2025-02-02,noise
PAY-00013137,INV-0013782,CUST-00219,435.18,EUR,2025-07-06,full-match
PAY-00017977,INV-0018780,CUST-00413,4205.55,EUR,2025-09-30,full-match
PAY-00010627,INV-0011136,CUST-00567,928.29,EUR,2025-05-15,full-match
PAY-00012531,INV-0013134,CUST-00337,3071.24,EUR,2025-06-16,full-match
PAY-00000643,INV-0000667,CUST-00227,2097.12,EUR,2025-06-10,full-match
PAY-00005968,INV-0006237,CUST-00252,3068.29,EUR,2025-11-04,full-match
PAY-00009219,INV-0009664,CUST-00881,2056.65,EUR,2025-11-01,full-match
PAY-00017080,INV-0017859,CUST-00147,1999.76,EUR,2025-12-25,full-match
PAY-00004584,INV-0004780,CUST-00837,4961.67,EUR,2025-09-03,full-match
PAY-00010917,INV-0011443,CUST-00246,2131.86,EUR,2025-06-13,full-match
PAY-00006546,INV-0006859,CUST-00863,2656.56,EUR,2025-02-03,full-match
PAY-00021887,INV-X-0025751,CUST-00633,2088.63,EUR,2025-08-25,noise
PAY-00005997,INV-0006266,CUST-00682,1269.24,EUR,2025-12-26,full-match
PAY-00020087,INV-X-0009235,CUST-00082,6458.68,EUR,2025-11-30,noise
PAY-00020946,INV-X-0002058,CUST-00874,5002.71,EUR,2025-07-10,noise
PAY-00021338,INV-X-0010569,CUST-00732,2245.67,EUR,2025-06-16,noise
PAY-00005129,INV-0005357,CUST-00841,3018.17,EUR,2026-01-30,partial
PAY-00006409,INV-0006706,CUST-00604,2968.36,EUR,2025-11-28,full-match
PAY-00010095,INV-0010572,CUST-00818,2336.66,EUR,2025-04-10,full-match
PAY-00002644,INV-0002763,CUST-00963,3487.85,EUR,2025-11-07,full-match
PAY-00024709,INV-X-0021799,CUST-00824,5046.92,EUR,2025-09-17,noise
PAY-00024152,INV-X-0006833,CUST-00210,3080.94,EUR,2026-01-29,noise
PAY-00020291,INV-X-0010946,CUST-00576,220.43,EUR,2025-04-19,noise
PAY-00014356,INV-0015029,CUST-00354,2228.04,EUR,2025-11-03,full-match
PAY-00017273,INV-0018057,CUST-00282,140.22,EUR,2025-09-30,full-match
PAY-00014956,INV-0015629,CUST-00338,2848.60,EUR,2025-07-03,full-match
PAY-00006036,INV-0006310,CUST-00993,164.80,EUR,2025-11-08,full-match
PAY-00002779,INV-0002909,CUST-00643,2740.88,EUR,2025-02-01,full-match
PAY-00002428,,CUST-00256,938.91,EUR,2026-01-02,missing-invoice-id
PAY-00010518,INV-0011018,CUST-00488,4737.72,EUR,2025-07-31,full-match
PAY-00007787,,CUST-00583,1287.74,EUR,2025-03-31,missing-invoice-id
PAY-00004522,INV-0004716,CUST-00897,1402.91,EUR,2025-05-22,duplicate
PAY-00006088,INV-0006370,CUST-00945,4215.89,EUR,2025-05-02,full-match
PAY-00003554,INV-0003712,CUST-00880,2348.72,EUR,2025-10-01,overpay
PAY-00023799,INV-X-0010496,CUST-00747,1804.66,EUR,2025-04-23,noise
PAY-00006724,INV-0007050,CUST-00776,2136.92,EUR,2025-08-15,full-match
PAY-00008477,INV-0008886,CUST-00360,3360.73,EUR,2025-08-18,full-match
PAY-00009486,INV-0009946,CUST-00130,3641.73,EUR,2026-01-17,full-match
PAY-00019756,INV-X-0015857,CUST-00329,6928.76,EUR,2025-06-09,noise
PAY-00020387,INV-X-0012937,CUST-00986,5253.89,EUR,2025-07-21,noise
PAY-00000373,INV-0000392,CUST-00020,2600.90,EUR,2025-03-04,overpay
PAY-00012745,INV-0013366,CUST-00369,1914.19,EUR,2025-07-24,full-match
PAY-00014533,INV-0015210,CUST-00620,3771.99,EUR,2025-12-22,full-match
PAY-00023531,INV-X-0012248,CUST-00777,168.36,EUR,2025-09-23,noise
PAY-00023785,INV-X-0032322,CUST-00070,4519.18,EUR,2025-04-15,noise
PAY-00019875,INV-X-0035072,CUST-00397,6958.09,EUR,2025-09-20,noise
PAY-00016584,INV-0017344,CUST-00210,3984.54,EUR,2025-07-31,full-match
PAY-00023621,INV-X-0005291,CUST-00649,3027.16,EUR,2025-06-16,noise
PAY-00014838,INV-0015518,CUST-00425,1524.14,EUR,2025-12-01,duplicate
PAY-00012764,INV-0013385,CUST-00821,1556.93,EUR,2025-11-01,full-match
PAY-00019755,INV-X-0036561,CUST-00641,4554.70,EUR,2025-01-08,noise
PAY-00011885,INV-0012459,CUST-00346,998.63,EUR,2025-04-25,duplicate
PAY-00018588,INV-0019418,CUST-00804,67.42,EUR,2025-11-09,partial
PAY-00002459,INV-0002580,CUST-00219,574.13,EUR,2025-07-18,full-match
PAY-00021123,INV-X-0006720,CUST-00697,448.24,EUR,2025-09-19,noise
PAY-00002573,INV-0002690,CUST-00815,3474.33,EUR,2025-06-16,full-match
PAY-00014761,INV-0015437,CUST-00696,4532.74,EUR,2025-04-14,full-match
PAY-00000786,INV-0000821,CUST-00887,4970.09,EUR,2025-05-24,duplicate
PAY-00020851,INV-X-0001300,CUST-00971,79.88,EUR,2026-01-25,noise
PAY-00012731,INV-0013351,CUST-00804,1439.11,EUR,2025-08-20,full-match
PAY-00000512,INV-0000534,CUST-00096,2537.74,EUR,2025-05-12,full-match
PAY-00011485,INV-0012045,CUST-00088,1642.97,EUR,2025-08-11,full-match
PAY-00015366,INV-0016081,CUST-00853,2162.26,EUR,2025-07-07,full-match
PAY-00008809,INV-0009229,CUST-00712,3371.31,EUR,2025-07-02,full-match
PAY-00011125,INV-0011661,CUST-00282,1741.54,EUR,2025-06-05,full-match
PAY-00009740,INV-0010207,CUST-00927,1725.32,EUR,2025-02-15,full-match
PAY-00000399,INV-0000419,CUST-00732,467.43,EUR,2025-12-25,duplicate
PAY-00006874,INV-0007205,CUST-00483,1464.23,EUR,2025-10-06,full-match
PAY-00021493,INV-X-0015807,CUST-00930,1199.02,EUR,2025-07-06,noise
PAY-00008401,INV-0008814,CUST-00179,2591.25,EUR,2025-11-20,full-match
PAY-00004633,INV-0004833,CUST-00933,3851.54,EUR,2025-04-18,full-match
PAY-00008379,INV-0008789,CUST-00941,3071.36,EUR,2025-05-26,full-match
PAY-00008422,INV-0008834,CUST-00325,1892.69,EUR,2025-03-10,suspicious-customer-mismatch
PAY-00008132,INV-0008533,CUST-00790,3967.73,EUR,2025-12-16,full-match
PAY-00012610,INV-0013218,CUST-00812,3773.95,EUR,2025-04-13,duplicate
PAY-00006011,INV-0006282,CUST-00987,665.98,EUR,2025-06-05,full-match
PAY-00024157,INV-X-0022897,CUST-00722,4472.35,EUR,2026-01-14,noise
PAY-00000124,INV-0000130,CUST-00291,1380.62,EUR,2025-12-31,partial
PAY-00001394,INV-0001461,CUST-00993,2698.11,EUR,2025-05-02,full-match
PAY-00007656,INV-0008034,CUST-00665,4695.14,EUR,2025-10-10,full-match
PAY-00010433,INV-0010930,CUST-00850,5243.10,EUR,2025-06-19,overpay
PAY-00000454,INV-0000475,CUST-00651,1965.06,EUR,2025-08-04,full-match
PAY-00014169,INV-0014841,CUST-00414,3746.36,EUR,2025-06-28,full-match
PAY-00006480,INV-0006785,CUST-00283,1100.78,EUR,2025-03-10,full-match
PAY-00017900,INV-0018703,CUST-00155,615.20,EUR,2025-12-28,full-match
PAY-00000428,INV-0000448,CUST-00541,2122.37,EUR,2025-04-19,duplicate
PAY-00018103,INV-0018919,CUST-00093,2243.59,EUR,2025-11-10,duplicate
PAY-00020267,INV-X-0013764,CUST-00063,359.43,EUR,2026-02-11,noise
PAY-00010219,INV-0010704,CUST-00710,1462.06,EUR,2025-06-25,full-match
PAY-00009860,INV-0010334,CUST-00562,524.15,EUR,2025-08-19,full-match
PAY-00018162,INV-0018980,CUST-00652,3380.48,EUR,2025-04-12,full-match
PAY-00013981,INV-0014642,CUST-00300,375.53,EUR,2025-12-30,full-match
PAY-00007071,INV-0007411,CUST-00415,4182.45,EUR,2025-03-23,full-match
PAY-00018022,INV-0018829,CUST-00400,3690.79,EUR,2025-10-24,full-match
PAY-00001945,INV-0002037,CUST-00232,2791.88,EUR,2025-07-01,full-match
PAY-00011048,INV-0011583,CUST-00757,3752.55,EUR,2025-11-28,suspicious-customer-mismatch
PAY-00022562,INV-X-0014174,CUST-00544,1927.42,EUR,2025-06-24,noise
PAY-00008472,INV-0008881,CUST-00270,2110.92,EUR,2025-09-11,partial
PAY-00010731,INV-0011248,CUST-00904,3460.72,EUR,2025-07-19,full-match
PAY-00004187,INV-0004362,CUST-00960,2005.05,EUR,2026-01-11,full-match
PAY-00001588,INV-0001673,CUST-00117,3444.89,EUR,2025-07-30,full-match
PAY-00003797,INV-0003958,CUST-00249,2949.63,EUR,2025-06-14,full-match
PAY-00012318,INV-0012905,CUST-00877,4935.03,EUR,2025-04-24,full-match
PAY-00004619,INV-0004820,CUST-00756,3812.69,EUR,2025-09-08,full-match
PAY-00009196,INV-0009639,CUST-00730,3320.79,EUR,2025-07-10,full-match
PAY-00001954,INV-0002047,CUST-00784,3581.79,EUR,2025-12-24,full-match
PAY-00015485,INV-0016204,CUST-00691,1367.88,EUR,2025-12-25,full-match
PAY-00001801,INV-0001891,CUST-00470,2327.83,EUR,2025-07-24,overpay
PAY-00006938,INV-0007272,CUST-00046,1590.34,EUR,2025-11-08,full-match
PAY-00024397,INV-X-0039296,CUST-00066,2151.23,EUR,2025-05-10,noise
PAY-00016828,INV-0017596,CUST-00626,3083.96,EUR,2026-01-02,overpay
PAY-00005772,INV-0006025,CUST-00239,2207.66,EUR,2025-09-07,full-match
PAY-00023403,INV-X-0018826,CUST-00172,811.69,EUR,2025-03-18,noise
PAY-00022316,INV-X-0009384,CUST-00471,5719.64,EUR,2025-02-16,noise
PAY-00004543,INV-0004735,CUST-00212,1976.59,EUR,2025-05-09,full-match
PAY-00011679,INV-0012250,CUST-00298,547.39,EUR,2025-02-14,full-match
PAY-00018394,INV-0019226,CUST-00246,1719.23,EUR,2025-10-17,full-match
PAY-00015222,INV-0015920,CUST-00886,761.07,EUR,2025-06-04,full-match
PAY-00016580,INV-0017340,CUST-00433,1604.61,EUR,2025-07-09,full-match
PAY-00016338,INV-0017094,CUST-00053,872.05,EUR,2026-01-27,full-match
PAY-00004562,INV-0004758,CUST-00430,3767.79,EUR,2025-02-19,overpay
PAY-00012391,INV-0012979,CUST-00678,2871.49,EUR,2025-01-15,full-match
PAY-00016732,INV-0017499,CUST-00675,2123.60,EUR,2026-01-07,full-match
PAY-00021987,INV-X-0027417,CUST-00915,6733.98,EUR,2025-02-18,noise
PAY-00020770,INV-X-0020189,CUST-00743,3871.66,EUR,2025-04-13,noise
PAY-00005559,INV-0005803,CUST-00623,912.82,EUR,2025-07-12,full-match
PAY-00023166,INV-X-0025968,CUST-00266,297.10,EUR,2025-05-16,noise
PAY-00013740,INV-0014395,CUST-00659,4986.99,EUR,2025-08-27,full-match
PAY-00019102,INV-0019950,CUST-00531,4269.12,EUR,2025-08-19,duplicate
PAY-00020076,INV-X-0036652,CUST-00775,5202.64,EUR,2025-12-21,noise
PAY-00005294,INV-0005526,CUST-00370,1711.29,EUR,2025-07-11,full-match
PAY-00002932,INV-0003072,CUST-00943,4863.38,EUR,2025-11-27,full-match
PAY-00011999,INV-0012579,CUST-00908,3534.17,EUR,2025-09-14,full-match
PAY-00020547,INV-X-0006035,CUST-00848,6829.50,EUR,2025-06-18,noise
PAY-00003445,INV-0003603,CUST-00160,2712.85,EUR,2025-05-18,full-match
PAY-00003710,INV-0003867,CUST-00216,4926.50,EUR,2025-10-19,full-match
PAY-00009957,INV-0010432,CUST-00985,2266.33,EUR,2025-09-08,partial
PAY-00009891,INV-0010365,CUST-00995,930.26,EUR,2026-02-13,full-match
PAY-00015709,INV-0016432,CUST-00356,4365.18,EUR,2025-12-30,full-match
PAY-00023826,INV-X-0010297,CUST-00637,3315.47,EUR,2025-11-18,noise
PAY-00023317,INV-X-0014138,CUST-00052,2705.42,EUR,2025-12-31,noise
PAY-00006647,INV-0006967,CUST-00278,1408.81,EUR,2025-12-17,partial
PAY-00021689,INV-X-0001515,CUST-00932,482.00,EUR,2025-04-13,noise
PAY-00017984,INV-0018787,CUST-00827,3163.99,EUR,2025-04-01,full-match
PAY-00014261,INV-0014930,CUST-00548,2828.47,EUR,2025-03-12,full-match
PAY-00015119,INV-0015808,CUST-00991,1015.10,EUR,2026-02-10,full-match
PAY-00007962,INV-0008357,CUST-00138,4010.31,EUR,2025-04-05,full-match
PAY-00012222,INV-0012803,CUST-00949,941.16,EUR,2025-08-28,full-match
PAY-00004999,INV-0005220,CUST-00144,4613.55,EUR,2025-02-27,full-match
PAY-00005529,INV-0005769,CUST-00508,2599.86,EUR,2025-07-19,partial
PAY-00015006,INV-0015680,CUST-00033,4827.82,EUR,2025-09-21,duplicate
PAY-00004052,INV-0004223,CUST-00902,2335.12,EUR,2025-09-11,full-match
PAY-00009355,INV-0009812,CUST-00706,4803.99,EUR,2025-06-20,full-match
PAY-00016276,INV-0017025,CUST-00725,288.51,EUR,2025-07-13,full-match
PAY-00004206,INV-0004381,CUST-00972,4858.24,EUR,2025-10-07,full-match
PAY-00018087,INV-0018903,CUST-00389,3299.16,EUR,2025-08-02,full-match
PAY-00007766,INV-0008152,CUST-00752,1211.71,EUR,2025-07-07,full-match
PAY-00013778,INV-0014434,CUST-00612,3442.53,EUR,2025-03-15,full-match
PAY-00013822,INV-0014480,CUST-00236,162.18,EUR,2025-04-09,suspicious-customer-mismatch
PAY-00017568,INV-0018357,CUST-00541,2722.41,EUR,2025-12-31,full-match
PAY-00021516,INV-X-0019380,CUST-00314,5439.11,EUR,2025-12-04,noise
PAY-00007478,INV-0007836,CUST-00991,272.03,EUR,2025-10-18,full-match
PAY-00015619,INV-0016338,CUST-00781,4633.76,EUR,2025-08-29,duplicate
PAY-00016231,INV-0016981,CUST-00829,4122.19,EUR,2025-11-21,full-match
PAY-00022204,INV-X-0031849,CUST-00235,1738.23,EUR,2025-08-25,noise
PAY-00010030,INV-0010506,CUST-00253,3348.72,EUR,2025-05-20,duplicate
PAY-00009023,INV-0009454,CUST-00261,1686.43,EUR,2025-08-18,full-match
PAY-00011514,INV-0012077,CUST-00224,810.52,EUR,2025-05-08,full-match
PAY-00005863,INV-0006124,CUST-00168,2022.43,EUR,2025-09-16,full-match
PAY-00002144,INV-0002240,CUST-00824,1548.15,EUR,2025-03-31,full-match
PAY-00003960,INV-0004128,CUST-00471,2081.34,EUR,2025-11-09,full-match
PAY-00022445,INV-X-0009928,CUST-00526,3206.81,EUR,2025-02-02,noise
PAY-00002981,INV-0003127,CUST-00346,3241.64,EUR,2025-03-14,full-match
PAY-00001443,INV-0001516,CUST-00584,3145.36,EUR,2025-05-28,full-match
PAY-00014712,INV-0015393,CUST-00617,506.60,EUR,2025-08-18,duplicate
PAY-00019899,INV-X-0038824,CUST-00074,5986.19,EUR,2025-01-14,noise
PAY-00023837,INV-X-0038718,CUST-00732,6049.33,EUR,2025-09-26,noise
PAY-00018821,INV-0019660,CUST-00745,3632.02,EUR,2025-05-05,full-match
PAY-00009078,INV-0009513,CUST-00145,1535.92,EUR,2025-03-04,full-match
PAY-00018393,INV-0019225,CUST-00394,1438.88,EUR,2025-03-07,full-match
PAY-00011344,INV-0011889,CUST-00568,4452.86,EUR,2025-06-26,full-match
PAY-00009231,INV-0009679,CUST-00895,4595.65,EUR,2025-06-07,full-match
PAY-00010225,INV-0010710,CUST-00818,4804.51,EUR,2025-10-13,duplicate
PAY-00013936,INV-0014593,CUST-00410,4454.06,EUR,2025-05-07,full-match
PAY-00019979,INV-X-0030298,CUST-00028,3612.15,EUR,2025-12-20,noise
PAY-00013823,INV-0014481,CUST-00302,3055.44,EUR,2025-08-17,full-match
PAY-00024840,INV-X-0030263,CUST-00057,1536.28,EUR,2025-02-15,noise
PAY-00016495,INV-0017253,CUST-00889,4735.16,EUR,2025-04-02,full-match
PAY-00022540,INV-X-0003765,CUST-00772,3699.28,EUR,2025-10-29,noise
PAY-00015396,INV-0016112,CUST-00447,1049.15,EUR,2025-05-23,full-match
PAY-00004572,INV-0004767,CUST-00707,427.53,EUR,2025-11-13,full-match
PAY-00009103,INV-0009541,CUST-00310,4057.37,EUR,2025-04-22,full-match
PAY-00003080,INV-0003226,CUST-00139,2110.75,EUR,2025-05-28,full-match
PAY-00011737,INV-0012310,CUST-00392,4692.22,EUR,2025-03-18,full-match
PAY-00011357,,CUST-00253,1602.53,EUR,2025-02-02,missing-invoice-id
PAY-00017557,INV-0018347,CUST-00151,1057.75,EUR,2026-02-06,partial
PAY-00011234,INV-0011777,CUST-00297,3043.36,EUR,2025-03-06,partial
PAY-00023730,INV-X-0020296,CUST-00886,4591.65,EUR,2026-01-12,noise
PAY-00021111,INV-X-0015422,CUST-00427,876.09,EUR,2025-10-25,noise
PAY-00006667,INV-0006986,CUST-00955,989.87,EUR,2025-09-18,full-match
PAY-00005395,INV-0005626,CUST-00371,1970.22,EUR,2025-02-14,full-match
PAY-00007820,INV-0008212,CUST-00079,2736.96,EUR,2025-10-24,full-match
PAY-00016965,INV-0017736,CUST-00777,2059.49,EUR,2025-12-22,full-match
PAY-00004798,INV-0005004,CUST-00081,3034.49,EUR,2025-02-03,full-match
PAY-00011482,INV-0012041,CUST-00046,2063.89,EUR,2025-12-23,partial
PAY-00005850,INV-0006111,CUST-00004,2788.57,EUR,2025-12-18,full-match
PAY-00013535,INV-0014184,CUST-00649,4423.94,EUR,2025-04-13,full-match
PAY-00008380,,CUST-00338,3073.56,EUR,2025-07-07,missing-invoice-id
PAY-00020995,INV-X-0038187,CUST-00551,2159.61,EUR,2025-04-03,noise
PAY-00024511,INV-X-0016512,CUST-00601,2333.55,EUR,2025-04-15,noise
PAY-00021283,INV-X-0026253,CUST-00481,3535.66,EUR,2025-07-23,noise
PAY-00012676,INV-0013292,CUST-00626,915.24,EUR,2025-10-02,partial
PAY-00014548,INV-0015226,CUST-00674,4518.34,EUR,2026-01-16,duplicate
PAY-00017832,INV-0018626,CUST-00128,320.32,EUR,2026-01-24,full-match
PAY-00018097,INV-0018912,CUST-00089,128.56,EUR,2025-01-28,full-match
PAY-00002242,INV-0002344,CUST-00888,3652.93,EUR,2025-03-26,full-match
PAY-00003435,INV-0003591,CUST-00326,2976.19,EUR,2025-02-14,full-match
PAY-00020849,INV-X-0008550,CUST-00450,6758.09,EUR,2025-04-17,noise
PAY-00009733,INV-0010200,CUST-00879,469.00,EUR,2025-05-09,full-match
PAY-00014975,INV-0015649,CUST-00514,1089.34,EUR,2025-08-17,full-match
PAY-00001423,INV-0001493,CUST-00937,4309.78,EUR,2025-04-22,full-match
PAY-00020437,INV-X-0009935,CUST-00741,2324.96,EUR,2025-02-16,noise
PAY-00013051,INV-0013683,CUST-00623,3536.93,EUR,2025-10-13,full-match
PAY-00003402,INV-0003559,CUST-00572,1923.96,EUR,2026-01-16,partial
PAY-00015789,INV-0016520,CUST-00958,1910.67,EUR,2025-11-07,full-match
PAY-00008665,INV-0009080,CUST-00705,802.12,EUR,2026-01-26,full-match
PAY-00014902,INV-0015582,CUST-00137,3992.49,EUR,2025-12-14,full-match
PAY-00015237,INV-0015941,CUST-00139,2551.30,EUR,2025-05-13,full-match
PAY-00013934,INV-0014592,CUST-00321,1256.75,EUR,2025-05-17,duplicate
PAY-00019443,INV-X-0036654,CUST-00199,1142.72,EUR,2025-05-27,noise
PAY-00023189,INV-X-0006538,CUST-00267,5512.20,EUR,2025-09-22,noise
PAY-00013753,INV-0014409,CUST-00781,3170.22,EUR,2025-03-25,full-match
PAY-00019331,INV-X-0039979,CUST-00014,4158.41,EUR,2025-11-21,noise
PAY-00016374,INV-0017127,CUST-00214,4972.49,EUR,2025-02-10,full-match
PAY-00017698,INV-0018491,CUST-00058,884.37,EUR,2025-04-10,full-match
PAY-00007997,INV-0008395,CUST-00925,4416.93,EUR,2025-11-03,full-match
PAY-00022704,INV-X-0019003,CUST-00487,3206.82,EUR,2025-05-23,noise
PAY-00016043,INV-0016788,CUST-00548,3193.53,EUR,2025-12-11,full-match
PAY-00019522,INV-X-0024102,CUST-00780,4292.39,EUR,2025-05-16,noise
PAY-00017379,INV-0018169,CUST-00273,4553.42,EUR,2025-12-21,full-match
PAY-00010148,INV-0010626,CUST-00056,4091.24,EUR,2025-08-15,full-match
PAY-00000291,INV-0000310,CUST-00765,2365.25,EUR,2025-04-03,partial
PAY-00004665,INV-0004864,CUST-00969,4911.93,EUR,2025-07-31,full-match
PAY-00010499,INV-0010998,CUST-00295,983.62,EUR,2025-04-24,full-match
PAY-00002387,INV-0002502,CUST-00660,436.89,EUR,2025-06-28,full-match
