invoice_id,payment_id,classification,reason
INV-0000109,PAY-00000107|PAY-00000108,duplicate_payment,multiple payments for one invoice
INV-0000116,PAY-00000115,overpaid,paid 1853.94 / due 1539.70
INV-0000118,PAY-00000117,overpaid,paid 4316.03 / due 3290.79
INV-0000122,PAY-00000121,matched_partial,paid 3571.54 / due 4042.49
INV-0000142,PAY-00000141,matched_partial,paid 3307.83 / due 3779.70
INV-0000143,PAY-00000142,overpaid,paid 5413.02 / due 4009.35
INV-0000145,PAY-00000144,matched_partial,paid 1011.22 / due 1713.84
INV-0000153,PAY-00000153|PAY-00000152,duplicate_payment,multiple payments for one invoice
INV-0000154,PAY-00000154|PAY-00000155,duplicate_payment,multiple payments for one invoice
INV-0000155,PAY-00000156|PAY-00000157,duplicate_payment,multiple payments for one invoice
INV-0000160,PAY-00000163|PAY-00000162,duplicate_payment,multiple payments for one invoice
INV-0000177,PAY-00000180|PAY-00000181,duplicate_payment,multiple payments for one invoice
INV-0000183,PAY-00000187,matched_partial,paid 1940.74 / due 3529.13
INV-0000184,,missing_payment,no payment found
INV-0000189,,missing_payment,no payment found
INV-0000190,,missing_payment,no payment found
INV-0000193,,missing_payment,no payment found
INV-0000211,,missing_payment,no payment found
INV-0000219,PAY-00000220,matched_partial,paid 1852.45 / due 2207.63
INV-0000226,PAY-00000227,overpaid,paid 392.73 / due 318.31
INV-0000230,PAY-00000231,matched_partial,paid 1905.10 / due 3563.42
INV-0000237,PAY-00000238,overpaid,paid 1850.14 / due 1417.42
INV-0000240,,missing_payment,no payment found
INV-0000252,PAY-00000253,matched_partial,paid 4111.46 / due 4772.99
INV-0000253,PAY-00000254,matched_partial,paid 97.03 / due 227.70
INV-0000260,PAY-00000262|PAY-00000261,duplicate_payment,multiple payments for one invoice
INV-0000263,,missing_payment,no payment found
INV-0000264,,missing_payment,no payment found
INV-0000265,,missing_payment,no payment found
INV-0000272,PAY-00000272,overpaid,paid 4368.42 / due 4019.56
INV-0000275,PAY-00000275,matched_partial,paid 3071.59 / due 3953.62
INV-0000276,,missing_payment,no payment found
INV-0000277,PAY-00000276,matched_partial,paid 1693.41 / due 3750.03
INV-0000281,PAY-00000280,matched_partial,paid 965.28 / due 2368.24
INV-0000284,,missing_payment,no payment found
INV-0000296,,missing_payment,no payment found
INV-0000308,PAY-00000307|PAY-00000306,duplicate_payment,multiple payments for one invoice
INV-0000312,,missing_payment,no payment found
INV-0000313,PAY-00000311,matched_partial,paid 1046.20 / due 1543.07
INV-0000314,,missing_payment,no payment found
INV-0000315,,missing_payment,no payment found
INV-0000316,,missing_payment,no payment found
INV-0000317,,missing_payment,no payment found
INV-0000319,PAY-00000314|PAY-00000313,duplicate_payment,multiple payments for one invoice
INV-0000322,PAY-00000317,overpaid,paid 5176.78 / due 4446.05
INV-0000324,PAY-00000319,matched_partial,paid 931.28 / due 1596.99
INV-0000325,,missing_payment,no payment found
INV-0000327,,missing_payment,no payment found
INV-0000333,,missing_payment,no payment found
INV-0000336,PAY-00000328,overpaid,paid 3621.74 / due 3064.52
INV-0000338,,missing_payment,no payment found
INV-0000339,PAY-00000330,matched_partial,paid 2418.67 / due 3303.86
INV-0000340,PAY-00000331|PAY-00000332,duplicate_payment,multiple payments for one invoice
INV-0000341,,missing_payment,no payment found
INV-0000342,PAY-00000333,matched_partial,paid 506.84 / due 1592.60
INV-0000347,PAY-00000338|PAY-00000339,duplicate_payment,multiple payments for one invoice
INV-0000354,PAY-00000346,matched_partial,paid 875.95 / due 2686.28
INV-0000356,PAY-00000348|PAY-00000349,duplicate_payment,multiple payments for one invoice
INV-0000357,PAY-00000350,overpaid,paid 3248.40 / due 2325.78
INV-0000367,,missing_payment,no payment found
INV-0000374,,missing_payment,no payment found
INV-0000376,PAY-00000367|PAY-00000368,duplicate_payment,multiple payments for one invoice
INV-0000377,,missing_payment,no payment found
INV-0000380,PAY-00000371,matched_partial,paid 500.05 / due 2280.09
INV-0000385,,missing_payment,no payment found
INV-0000388,PAY-00000378|PAY-00000379,duplicate_payment,multiple payments for one invoice
INV-0000392,PAY-00000383|PAY-00000384,duplicate_payment,multiple payments for one invoice
INV-0000395,,missing_payment,no payment found
INV-0000400,PAY-00000392,overpaid,paid 4094.35 / due 3619.86
INV-0000406,PAY-00000398,matched_partial,paid 1533.75 / due 2122.37
INV-0000407,PAY-00000399,matched_partial,paid 625.33 / due 735.07
INV-0000409,PAY-00000401|PAY-00000402,duplicate_payment,multiple payments for one invoice
INV-0000413,PAY-00000406,overpaid,paid 2794.07 / due 2534.94
INV-0000417,PAY-00000410|PAY-00000411,duplicate_payment,multiple payments for one invoice
INV-0000418,PAY-00000413|PAY-00000412,duplicate_payment,multiple payments for one invoice
INV-0000432,,missing_payment,no payment found
INV-0000437,PAY-00000431,matched_partial,paid 1810.22 / due 4670.19
INV-0000441,PAY-00000435,overpaid,paid 4190.02 / due 3729.37
INV-0000442,PAY-00000436,overpaid,paid 2701.71 / due 2506.21
INV-0000443,PAY-00000437|PAY-00000438,duplicate_payment,multiple payments for one invoice
INV-0000448,,missing_payment,no payment found
INV-0000452,PAY-00000447,overpaid,paid 835.19 / due 674.84
INV-0000455,PAY-00000450,matched_partial,paid 559.49 / due 2247.50
INV-0000456,,missing_payment,no payment found
INV-0000458,PAY-00000452,overpaid,paid 3205.39 / due 2520.27
INV-0000461,,missing_payment,no payment found
INV-0000465,PAY-00000459,matched_partial,paid 1509.04 / due 3978.80
INV-0000466,PAY-00000460,matched_partial,paid 3741.19 / due 4926.41
INV-0000470,PAY-00000465|PAY-00000464,duplicate_payment,multiple payments for one invoice
INV-0000473,PAY-00000468,matched_partial,paid 3090.72 / due 4395.90
INV-0000477,,missing_payment,no payment found
INV-0000478,PAY-00000472,matched_partial,paid 2525.98 / due 4479.88
INV-0000479,PAY-00000473,overpaid,paid 3587.82 / due 3193.53
INV-0000484,PAY-00000478,matched_partial,paid 361.07 / due 452.05
INV-0000485,PAY-00000479,matched_partial,paid 2897.37 / due 3273.09
INV-0000493,PAY-00000487,overpaid,paid 4031.65 / due 3815.29
INV-0000500,,missing_payment,no payment found
INV-0000501,PAY-00000494,overpaid,paid 2757.07 / due 2313.29
INV-0000502,PAY-00000496|PAY-00000495,duplicate_payment,multiple payments for one invoice
INV-0000504,,missing_payment,no payment found
INV-0000509,PAY-00000502,matched_partial,paid 2000.86 / due 4135.29
INV-0000511,PAY-00000504,matched_partial,paid 1457.42 / due 2811.27
INV-0000513,PAY-00000506,overpaid,paid 290.20 / due 274.25
INV-0000516,,missing_payment,no payment found
INV-0000518,,missing_payment,no payment found
INV-0000521,,missing_payment,no payment found
INV-0000522,PAY-00000512,matched_partial,paid 661.71 / due 1176.34
INV-0000525,PAY-00000515,matched_partial,paid 3360.67 / due 4743.62
INV-0000538,PAY-00000528|PAY-00000529,duplicate_payment,multiple payments for one invoice
INV-0000542,PAY-00000533,matched_partial,paid 985.87 / due 1234.45
INV-0000549,PAY-00000540,overpaid,paid 3360.20 / due 2699.00
INV-0000550,PAY-00000541,overpaid,paid 5962.06 / due 4417.11
INV-0000552,,missing_payment,no payment found
INV-0000554,,missing_payment,no payment found
INV-0000555,,missing_payment,no payment found
INV-0000556,,missing_payment,no payment found
INV-0000557,PAY-00000546|PAY-00000547,duplicate_payment,multiple payments for one invoice
INV-0000561,PAY-00000551,matched_partial,paid 992.45 / due 2034.12
INV-0000562,PAY-00000552,overpaid,paid 3253.09 / due 2413.40
INV-0000564,,missing_payment,no payment found
INV-0000568,,missing_payment,no payment found
INV-0000570,,missing_payment,no payment found
INV-0000586,PAY-00000573,matched_partial,paid 412.23 / due 1903.58
INV-0000592,PAY-00000579|PAY-00000580,duplicate_payment,multiple payments for one invoice
INV-0000593,PAY-00000581,matched_partial,paid 903.81 / due 1763.49
INV-0000597,PAY-00000586|PAY-00000585,duplicate_payment,multiple payments for one invoice
INV-0000598,PAY-00000587,matched_partial,paid 1940.78 / due 2721.81
INV-0000602,,missing_payment,no payment found
INV-0000603,PAY-00000591,matched_partial,paid 1391.59 / due 4745.18
INV-0000606,PAY-00000594,matched_partial,paid 1169.88 / due 1534.45
INV-0000607,,missing_payment,no payment found
INV-0000610,,missing_payment,no payment found
INV-0000611,,missing_payment,no payment found
INV-0000617,PAY-00000605|PAY-00000604,duplicate_payment,multiple payments for one invoice
INV-0000618,,missing_payment,no payment found
INV-0000621,,missing_payment,no payment found
INV-0000628,,missing_payment,no payment found
INV-0000630,PAY-00000616,matched_partial,paid 262.41 / due 882.76
INV-0000633,,missing_payment,no payment found
INV-0000636,,missing_payment,no payment found
INV-0000637,,missing_payment,no payment found
INV-0000648,PAY-00000632,matched_partial,paid 2124.19 / due 2524.30
INV-0000654,,missing_payment,no payment found
INV-0000656,PAY-00000639,overpaid,paid 4444.47 / due 4181.52
INV-0000657,PAY-00000640,matched_partial,paid 1689.43 / due 1950.04
INV-0000659,PAY-00000642,overpaid,paid 2382.98 / due 2213.59
INV-0000663,PAY-00000647|PAY-00000646,duplicate_payment,multiple payments for one invoice
INV-0000666,PAY-00000651|PAY-00000650,duplicate_payment,multiple payments for one invoice
INV-0000671,PAY-00000656,matched_partial,paid 1203.41 / due 1801.88
INV-0000677,PAY-00000662,matched_partial,paid 853.49 / due 2134.46
INV-0000681,PAY-00000666,overpaid,paid 5196.68 / due 4030.18
INV-0000686,PAY-00000671|PAY-00000672,duplicate_payment,multiple payments for one invoice
INV-0000688,PAY-00000674,overpaid,paid 5104.61 / due 4663.73
INV-0000690,,missing_payment,no payment found
INV-0000693,PAY-00000678|PAY-00000679,duplicate_payment,multiple payments for one invoice
INV-0000700,PAY-00000686,overpaid,paid 5157.37 / due 4830.30
INV-0000702,PAY-00000688,matched_partial,paid 1109.49 / due 2812.07
INV-0000703,,missing_payment,no payment found
INV-0000704,,missing_payment,no payment found
INV-0000706,,missing_payment,no payment found
INV-0000712,PAY-00000696|PAY-00000697,duplicate_payment,multiple payments for one invoice
INV-0000713,,missing_payment,no payment found
INV-0000715,PAY-00000699|PAY-00000700,duplicate_payment,multiple payments for one invoice
INV-0000716,,missing_payment,no payment found
INV-0000719,PAY-00000703,matched_partial,paid 983.06 / due 1663.63
INV-0000722,,missing_payment,no payment found
INV-0000723,,missing_payment,no payment found
INV-0000725,,missing_payment,no payment found
INV-0000728,,missing_payment,no payment found
INV-0000730,PAY-00000711,overpaid,paid 1305.62 / due 976.14
INV-0000731,PAY-00000712,matched_partial,paid 4091.23 / due 4761.62
INV-0000732,,missing_payment,no payment found
INV-0000733,PAY-00000713,matched_partial,paid 476.59 / due 2075.22
INV-0000739,,missing_payment,no payment found
INV-0000740,,missing_payment,no payment found
INV-0000741,,missing_payment,no payment found
INV-0000742,PAY-00000719,overpaid,paid 6059.74 / due 4380.31
INV-0000745,PAY-00000722,overpaid,paid 4602.26 / due 3461.21
INV-0000751,,missing_payment,no payment found
INV-0000755,PAY-00000732,matched_partial,paid 1960.35 / due 2602.29
INV-0000757,,missing_payment,no payment found
INV-0000762,,missing_payment,no payment found
INV-0000763,,missing_payment,no payment found
INV-0000764,PAY-00000739|PAY-00000740,duplicate_payment,multiple payments for one invoice
INV-0000772,,missing_payment,no payment found
INV-0000776,PAY-00000751|PAY-00000752,duplicate_payment,multiple payments for one invoice
INV-0000788,,missing_payment,no payment found
INV-0000790,PAY-00000765|PAY-00000766,duplicate_payment,multiple payments for one invoice
INV-0000791,,missing_payment,no payment found
INV-0000792,,missing_payment,no payment found
INV-0000793,PAY-00000767,matched_partial,paid 33.54 / due 132.61
INV-0000797,PAY-00000771,overpaid,paid 3017.01 / due 2711.39
INV-0000800,PAY-00000774,matched_partial,paid 603.98 / due 1585.34
INV-0000801,,missing_payment,no payment found
INV-0000806,,missing_payment,no payment found
INV-0000811,PAY-00000783|PAY-00000784,duplicate_payment,multiple payments for one invoice
INV-0000823,,missing_payment,no payment found
INV-0000825,,missing_payment,no payment found
INV-0000827,,missing_payment,no payment found
INV-0000830,PAY-00000800,matched_partial,paid 2085.32 / due 2485.54
INV-0000833,,missing_payment,no payment found
INV-0000842,,missing_payment,no payment found
INV-0000844,PAY-00000813|PAY-00000812,duplicate_payment,multiple payments for one invoice
INV-0000845,,missing_payment,no payment found
INV-0000848,PAY-00000816,matched_partial,paid 1288.18 / due 3752.99
INV-0000849,,missing_payment,no payment found
INV-0000854,,missing_payment,no payment found
INV-0000856,PAY-00000823,matched_partial,paid 1685.78 / due 2194.12
INV-0000863,,missing_payment,no payment found
INV-0000866,PAY-00000833,matched_partial,paid 1237.39 / due 1641.94
INV-0000869,PAY-00000836|PAY-00000837,duplicate_payment,multiple payments for one invoice
INV-0000874,,missing_payment,no payment found
INV-0000876,,missing_payment,no payment found
INV-0000880,PAY-00000848|PAY-00000847,duplicate_payment,multiple payments for one invoice
INV-0000889,,missing_payment,no payment found
INV-0000890,,missing_payment,no payment found
INV-0000894,,missing_payment,no payment found
INV-0000899,PAY-00000865|PAY-00000864,duplicate_payment,multiple payments for one invoice
INV-0000901,,missing_payment,no payment found
INV-0000902,PAY-00000867,overpaid,paid 2307.17 / due 1741.95
INV-0000911,,missing_payment,no payment found
INV-0000919,,missing_payment,no payment found
INV-0000920,,missing_payment,no payment found
INV-0000925,,missing_payment,no payment found
INV-0000930,PAY-00000891,overpaid,paid 6390.53 / due 4986.48
INV-0000933,,missing_payment,no payment found
INV-0000937,,missing_payment,no payment found
INV-0000939,PAY-00000900,overpaid,paid 3038.50 / due 2391.58
INV-0000948,PAY-00000909,matched_partial,paid 1969.36 / due 4342.59
INV-0000951,,missing_payment,no payment found
INV-0000952,,missing_payment,no payment found
INV-0000961,PAY-00000920,matched_partial,paid 31.68 / due 149.26
INV-0000964,PAY-00000923,matched_partial,paid 2721.53 / due 4035.17
INV-0000965,PAY-00000924,matched_partial,paid 2204.95 / due 4482.64
INV-0000967,,missing_payment,no payment found
INV-0000971,PAY-00000929,matched_partial,paid 1142.65 / due 1342.68
INV-0000973,,missing_payment,no payment found
INV-0000975,PAY-00000932,overpaid,paid 2478.29 / due 2052.76
INV-0000981,PAY-00000938,matched_partial,paid 1647.17 / due 3289.45
INV-0000983,PAY-00000940,matched_partial,paid 1573.50 / due 1889.83
INV-0000985,,missing_payment,no payment found
INV-0000989,PAY-00000945,matched_partial,paid 3327.46 / due 4936.60
INV-0000990,,missing_payment,no payment found
INV-0000996,PAY-00000952|PAY-00000951,duplicate_payment,multiple payments for one invoice
INV-0000998,PAY-00000954|PAY-00000955,duplicate_payment,multiple payments for one invoice
INV-0001003,PAY-00000960,matched_partial,paid 751.70 / due 1722.28
INV-0001007,,missing_payment,no payment found
INV-0001008,,missing_payment,no payment found
INV-0001009,PAY-00000964|PAY-00000965,duplicate_payment,multiple payments for one invoice
INV-0001010,PAY-00000966,matched_partial,paid 1997.73 / due 4973.67
INV-0001012,PAY-00000968,overpaid,paid 2115.08 / due 1932.26
INV-0001014,PAY-00000970,overpaid,paid 2692.07 / due 2133.31
INV-0001016,,missing_payment,no payment found
INV-0001017,PAY-00000972,overpaid,paid 1741.18 / due 1449.40
INV-0001018,,missing_payment,no payment found
INV-0001022,,missing_payment,no payment found
INV-0001025,PAY-00000978,matched_partial,paid 2922.37 / due 4943.90
INV-0001026,PAY-00000979,matched_partial,paid 266.69 / due 297.90
INV-0001028,PAY-00000981,overpaid,paid 4169.81 / due 3705.77
INV-0001029,,missing_payment,no payment found
INV-0001035,PAY-00000988,matched_partial,paid 302.19 / due 563.38
INV-0001040,,missing_payment,no payment found
INV-0001041,PAY-00000993,matched_partial,paid 2106.86 / due 3632.68
INV-0001043,PAY-00000995,matched_partial,paid 1401.63 / due 3325.48
INV-0001044,PAY-00000996,matched_partial,paid 1103.91 / due 3335.37
INV-0001050,PAY-00001002,matched_partial,paid 1011.59 / due 4094.66
INV-0001051,,missing_payment,no payment found
INV-0001054,,missing_payment,no payment found
INV-0001058,PAY-00001011|PAY-00001010,duplicate_payment,multiple payments for one invoice
INV-0001068,,missing_payment,no payment found
INV-0001070,PAY-00001023,matched_partial,paid 2895.20 / due 4202.14
INV-0001071,PAY-00001025|PAY-00001024,duplicate_payment,multiple payments for one invoice
INV-0001073,,missing_payment,no payment found
INV-0001079,,missing_payment,no payment found
INV-0001082,PAY-00001034,matched_partial,paid 1316.08 / due 2874.66
INV-0001083,PAY-00001035,matched_partial,paid 598.02 / due 1465.34
INV-0001088,PAY-00001040,matched_partial,paid 1888.75 / due 3780.29
INV-0001093,,missing_payment,no payment found
INV-0001094,PAY-00001045,matched_partial,paid 947.64 / due 1055.28
INV-0001100,,missing_payment,no payment found
INV-0001102,,missing_payment,no payment found
INV-0001104,,missing_payment,no payment found
INV-0001107,PAY-00001055,overpaid,paid 1034.14 / due 838.88
INV-0001108,,missing_payment,no payment found
INV-0001118,PAY-00001065,overpaid,paid 6564.22 / due 4859.56
INV-0001122,,missing_payment,no payment found
INV-0001123,,missing_payment,no payment found
INV-0001124,,missing_payment,no payment found
INV-0001127,PAY-00001072|PAY-00001071,duplicate_payment,multiple payments for one invoice
INV-0001133,,missing_payment,no payment found
INV-0001139,PAY-00001083,matched_partial,paid 4015.59 / due 4532.86
INV-0001146,PAY-00001090,overpaid,paid 1935.15 / due 1461.43
INV-0001148,,missing_payment,no payment found
INV-0001150,,missing_payment,no payment found
INV-0001151,,missing_payment,no payment found
INV-0001154,,missing_payment,no payment found
INV-0001155,PAY-00001095,overpaid,paid 1789.77 / due 1353.01
INV-0001156,,missing_payment,no payment found
INV-0001159,,missing_payment,no payment found
INV-0001160,,missing_payment,no payment found
INV-0001161,PAY-00001098,overpaid,paid 2917.02 / due 2350.27
INV-0001164,PAY-00001102|PAY-00001101,duplicate_payment,multiple payments for one invoice
INV-0001165,PAY-00001104|PAY-00001103,duplicate_payment,multiple payments for one invoice
INV-0001166,PAY-00001106|PAY-00001105,duplicate_payment,multiple payments for one invoice
INV-0001177,,missing_payment,no payment found
INV-0001180,PAY-00001119,matched_partial,paid 1559.85 / due 3392.39
INV-0001185,,missing_payment,no payment found
INV-0001186,,missing_payment,no payment found
INV-0001192,PAY-00001130|PAY-00001129,duplicate_payment,multiple payments for one invoice
INV-0001203,,missing_payment,no payment found
INV-0001206,,missing_payment,no payment found
INV-0001208,,missing_payment,no payment found
INV-0001212,PAY-00001147,matched_partial,paid 2654.47 / due 4943.12
INV-0001215,PAY-00001150,matched_partial,paid 532.49 / due 1111.57
INV-0001223,,missing_payment,no payment found
INV-0001229,,missing_payment,no payment found
INV-0001233,,missing_payment,no payment found
INV-0001234,PAY-00001168|PAY-00001169,duplicate_payment,multiple payments for one invoice
INV-0001235,,missing_payment,no payment found
INV-0001236,PAY-00001170,matched_partial,paid 3594.57 / due 4386.76
INV-0001242,PAY-00001176,matched_partial,paid 1881.10 / due 2701.48
INV-0001246,PAY-00001180,overpaid,paid 6588.69 / due 4738.23
INV-0001248,PAY-00001182,overpaid,paid 1305.04 / due 1073.55
INV-0001250,PAY-00001184,overpaid,paid 4337.31 / due 3395.27
INV-0001252,PAY-00001186,matched_partial,paid 1056.58 / due 1887.42
INV-0001253,,missing_payment,no payment found
INV-0001256,,missing_payment,no payment found
INV-0001259,PAY-00001192|PAY-00001191,duplicate_payment,multiple payments for one invoice
INV-0001263,,missing_payment,no payment found
INV-0001267,PAY-00001199,overpaid,paid 5058.22 / due 4288.73
INV-0001268,,missing_payment,no payment found
INV-0001272,,missing_payment,no payment found
INV-0001278,PAY-00001208,matched_partial,paid 3952.87 / due 4897.90
INV-0001283,PAY-00001213|PAY-00001214,duplicate_payment,multiple payments for one invoice
INV-0001289,,missing_payment,no payment found
INV-0001290,,missing_payment,no payment found
INV-0001295,PAY-00001225,matched_partial,paid 346.71 / due 699.82
INV-0001298,PAY-00001228,overpaid,paid 2850.50 / due 2251.98
INV-0001307,,missing_payment,no payment found
INV-0001309,PAY-00001239|PAY-00001238,duplicate_payment,multiple payments for one invoice
INV-0001310,PAY-00001240,matched_partial,paid 830.41 / due 1141.93
INV-0001311,,missing_payment,no payment found
INV-0001315,,missing_payment,no payment found
INV-0001328,,missing_payment,no payment found
INV-0001329,PAY-00001257,matched_partial,paid 212.30 / due 835.13
INV-0001331,,missing_payment,no payment found
INV-0001332,,missing_payment,no payment found
INV-0001335,PAY-00001261,overpaid,paid 3678.15 / due 2926.33
INV-0001342,,missing_payment,no payment found
INV-0001347,PAY-00001272,overpaid,paid 437.10 / due 390.94
INV-0001356,PAY-00001281|PAY-00001282,duplicate_payment,multiple payments for one invoice
INV-0001362,,missing_payment,no payment found
INV-0001365,,missing_payment,no payment found
INV-0001373,,missing_payment,no payment found
INV-0001374,PAY-00001298,matched_partial,paid 1738.80 / due 3832.71
INV-0001376,PAY-00001300,overpaid,paid 4334.19 / due 3840.26
INV-0001377,,missing_payment,no payment found
INV-0001381,PAY-00001305|PAY-00001304,duplicate_payment,multiple payments for one invoice
INV-0001384,,missing_payment,no payment found
INV-0001385,PAY-00001308,overpaid,paid 1457.47 / due 1203.32
INV-0001391,PAY-00001314,matched_partial,paid 997.89 / due 2111.78
INV-0001398,,missing_payment,no payment found
INV-0001399,PAY-00001321,matched_partial,paid 2426.23 / due 3739.31
INV-0001405,,missing_payment,no payment found
INV-0001409,,missing_payment,no payment found
INV-0001410,,missing_payment,no payment found
INV-0001412,,missing_payment,no payment found
INV-0001415,PAY-00001334|PAY-00001333,duplicate_payment,multiple payments for one invoice
INV-0001418,PAY-00001337,overpaid,paid 1632.54 / due 1314.51
INV-0001419,,missing_payment,no payment found
INV-0001423,,missing_payment,no payment found
INV-0001431,PAY-00001348,matched_partial,paid 1233.52 / due 3147.67
INV-0001433,PAY-00001350,overpaid,paid 5793.39 / due 4491.02
INV-0001435,,missing_payment,no payment found
INV-0001437,PAY-00001353,matched_partial,paid 465.40 / due 702.27
INV-0001443,PAY-00001360|PAY-00001359,duplicate_payment,multiple payments for one invoice
INV-0001453,PAY-00001370,matched_partial,paid 1839.68 / due 3834.47
INV-0001459,,missing_payment,no payment found
INV-0001460,,missing_payment,no payment found
INV-0001465,PAY-00001380|PAY-00001381,duplicate_payment,multiple payments for one invoice
INV-0001467,,missing_payment,no payment found
INV-0001471,,missing_payment,no payment found
INV-0001472,PAY-00001386,matched_partial,paid 324.20 / due 472.27
INV-0001473,PAY-00001387,matched_partial,paid 1685.79 / due 3079.76
INV-0001476,PAY-00001390,overpaid,paid 1265.89 / due 935.39
INV-0001477,,missing_payment,no payment found
INV-0001478,,missing_payment,no payment found
INV-0001480,PAY-00001392,matched_partial,paid 1769.14 / due 2513.26
INV-0001482,,missing_payment,no payment found
INV-0001490,PAY-00001401,overpaid,paid 3603.97 / due 3074.89
INV-0001492,PAY-00001403,matched_partial,paid 806.84 / due 1832.93
INV-0001496,,missing_payment,no payment found
INV-0001497,,missing_payment,no payment found
INV-0001500,,missing_payment,no payment found
INV-0001501,PAY-00001409,matched_partial,paid 1168.87 / due 3090.74
INV-0001513,PAY-00001421,overpaid,paid 1036.12 / due 819.16
INV-0001520,,missing_payment,no payment found
INV-0001522,,missing_payment,no payment found
INV-0001534,,missing_payment,no payment found
INV-0001538,PAY-00001444|PAY-00001443,duplicate_payment,multiple payments for one invoice
INV-0001540,,missing_payment,no payment found
INV-0001547,,missing_payment,no payment found
INV-0001548,,missing_payment,no payment found
INV-0001549,,missing_payment,no payment found
INV-0001550,PAY-00001452,matched_partial,paid 1169.32 / due 2305.14
INV-0001553,PAY-00001455,overpaid,paid 4399.52 / due 3954.45
INV-0001557,,missing_payment,no payment found
INV-0001558,,missing_payment,no payment found
INV-0001566,PAY-00001466|PAY-00001467,duplicate_payment,multiple payments for one invoice
INV-0001567,,missing_payment,no payment found
INV-0001570,,missing_payment,no payment found
INV-0001571,PAY-00001470,overpaid,paid 4793.03 / due 3797.53
INV-0001573,PAY-00001472,matched_partial,paid 895.30 / due 1018.55
INV-0001575,,missing_payment,no payment found
INV-0001579,,missing_payment,no payment found
INV-0001590,,missing_payment,no payment found
INV-0001594,,missing_payment,no payment found
INV-0001597,,missing_payment,no payment found
INV-0001601,,missing_payment,no payment found
INV-0001605,,missing_payment,no payment found
INV-0001607,PAY-00001500,overpaid,paid 1776.19 / due 1469.74
INV-0001610,,missing_payment,no payment found
INV-0001611,PAY-00001503,matched_partial,paid 3328.46 / due 3707.89
INV-0001613,PAY-00001505|PAY-00001506,duplicate_payment,multiple payments for one invoice
INV-0001615,,missing_payment,no payment found
INV-0001617,,missing_payment,no payment found
INV-0001618,PAY-00001510|PAY-00001509,duplicate_payment,multiple payments for one invoice
INV-0001627,PAY-00001520|PAY-00001519,duplicate_payment,multiple payments for one invoice
INV-0001629,,missing_payment,no payment found
INV-0001637,PAY-00001529,matched_partial,paid 2233.81 / due 4025.84
INV-0001641,,missing_payment,no payment found
INV-0001642,PAY-00001534|PAY-00001533,duplicate_payment,multiple payments for one invoice
INV-0001649,PAY-00001541,matched_partial,paid 1179.16 / due 3339.80
INV-0001651,PAY-00001544|PAY-00001543,duplicate_payment,multiple payments for one invoice
INV-0001652,,missing_payment,no payment found
INV-0001659,PAY-00001553|PAY-00001552,duplicate_payment,multiple payments for one invoice
INV-0001661,PAY-00001555,matched_partial,paid 365.23 / due 742.72
INV-0001663,PAY-00001557|PAY-00001558,duplicate_payment,multiple payments for one invoice
INV-0001664,,missing_payment,no payment found
INV-0001665,PAY-00001559,matched_partial,paid 195.10 / due 327.47
INV-0001666,PAY-00001560,matched_partial,paid 901.69 / due 1097.81
INV-0001668,PAY-00001562,matched_partial,paid 631.89 / due 1203.28
INV-0001669,PAY-00001563,matched_partial,paid 1414.33 / due 2470.03
